run_id,architecture,scenario_tag,exit_closed,CIR_event,DOC,Ttravel_s,Tdelay_s,LMS_m,exit_commit_ratio,hold_ratio,merge_back_ratio,unsafe_commit_ratio,first_exit_commit_distance_m,first_merge_back_distance_m,mean_z_exit_prior,mean_z_temp_ctrl,mean_z_boundary,mean_z_conflict,mean_b_exit,total_cost,unsafe_exit_commit_cost,late_mergeback_cost,unnecessary_reroute_cost,oscillation_cost,efficiency_cost
73,camera_only,closed_transition_conflict,True,0.0,3,4.699999999999999,0.3454817139184678,20.0,0.10638297872340426,0.3617021276595745,0.0,0.0,34.469380162243034,,0.578589398981532,0.2844632932925501,0.23102102199752447,0.27303675617299944,0.43742233942325803,4.432210331928914,0.0,1.0,0.0,0.30000000000000004,0.26442066385782786
73,multi_sensor_permissive,closed_transition_conflict,True,0.0,9,4.799999999999999,0.44548171391846747,0.0,0.0,0.1875,0.2708333333333333,0.0,,23.192705875720424,0.5771880756839437,0.28575006690705396,0.23117542714041708,0.27585820434014446,0.3510851507893153,1.5077803851672162,0.0,0.1,0.0,0.9,0.4155607703344322
73,mitigation,closed_transition_conflict,True,0.0,3,4.899999999999999,0.5454817139184671,0.0,0.0,0.02040816326530612,0.4489795918367347,0.0,,31.762182976212344,0.5847506035892489,0.2985789752833189,0.2366279376735225,0.2888275414613094,0.24466312639460452,0.5508574532812757,0.0,0.0,0.0,0.30000000000000004,0.5017149065625514
74,camera_only,closed_transition_conflict,True,0.0,5,4.300000000000001,0.2705830515820624,20.0,0.16279069767441862,0.3023255813953488,0.0,0.0,34.670047492912374,,0.6298578865381681,0.2751261393968935,0.22642347659278544,0.2602723910739651,0.4849034415690508,3.8049135767508346,0.0,0.8,0.0,0.5,0.20982715350166928
74,multi_sensor_permissive,closed_transition_conflict,True,0.0,7,4.4,0.37058305158206206,1.4697696428363827,0.045454545454545456,0.11363636363636363,0.25,0.0,23.89783272242447,18.530230357163617,0.6298174240904453,0.28026237642033963,0.23990400335206818,0.27316839048721586,0.3894583002659392,0.8562506274552698,0.0,0.0,0.0,0.7000000000000001,0.31250125491053965
74,mitigation,closed_transition_conflict,True,0.0,3,4.5,0.4705830515820617,0.832319414216002,0.0,0.13333333333333333,0.28888888888888886,0.0,,19.167680585783998,0.6278773149113342,0.28943231694192817,0.23526454152793078,0.2762478650708124,0.26266021611779566,0.5009706033437404,0.0,0.0,0.0,0.30000000000000004,0.4019412066874808
75,camera_only,closed_transition_conflict,True,0.0,4,4.000000000000002,0.23480674586055628,20.0,0.05,0.4,0.0,0.0,35.68938384540467,,0.5333035561708165,0.3035421689673047,0.22745595892714107,0.2660906658683647,0.3984090549767222,3.7081527367923317,0.0,0.8,0.0,0.4,0.21630547358466268
75,multi_sensor_permissive,closed_transition_conflict,True,0.0,5,4.100000000000001,0.3348067458605559,1.3609134008480517,0.0,0.17073170731707318,0.2682926829268293,0.0,,18.63908659915195,0.5207863647020436,0.31203190630310185,0.23449436796373074,0.2698512219790402,0.31570521617792396,0.6583432534300024,0.0,0.0,0.0,0.5,0.3166865068600049
75,mitigation,closed_transition_conflict,True,0.0,3,4.200000000000001,0.43480674586055557,0.0,0.0,0.11904761904761904,0.35714285714285715,0.0,,24.770848470833847,0.5283790298517247,0.31379144057737035,0.24260734829215663,0.2731603823546912,0.22567260042254828,0.49975226571979675,0.0,0.0,0.0,0.30000000000000004,0.3995045314395933
76,camera_only,closed_transition_conflict,True,0.0,3,4.100000000000001,0.24509281147670103,20.0,0.0975609756097561,0.36585365853658536,0.0,0.0,34.69325969169611,,0.5683798388650378,0.2918763993257413,0.21627297086742217,0.2576849107989138,0.43012792030314195,3.20890365572784,0.0,0.7000000000000001,0.0,0.30000000000000004,0.2178073114556797
