seed,scenario,mode,pbs,false_brake_frames,ghost_track_persistence_s,peak_jerk,min_accel,travel_time_s,avg_speed,speed_efficiency_ratio,reached_goal,min_ttc_virtual,cfg_total_time_s,cfg_x_goal,cfg_ghost_world_x,cfg_visible_back_margin,cfg_visible_front_margin,cfg_reflection_strength,cfg_noise_scale,cfg_init_speed,cfg_slope,evr,barrier_collision,crossed_door,stop_time_ratio,min_stop_margin_m,unknown_at_ref,risk_at_ref,final_progress_m,cfg_x_goal_margin_after_door,cfg_cell_size_m,cfg_door_col,cfg_door_half_height_cells,cfg_transparency,cfg_depth_void_span_m
16,A2,mitigation,,,,63.07768811695604,,21.3,1.387961957101439,,0,,21.413315295762473,,,,,,1.5648387564047574,4.954954963249843,0.019595432039184034,0.1420851482350414,0,0,0.6869158878504673,1.1723522422071895,0.7835404823262353,1.0,29.76797426988764,7.239180645947394,0.7773873480858031,40.0,2.0,0.8998211365556493,5.817940811611185
17,A1,camera_only,1.5940562136984717,0,13.8,10.046055238343271,-1.7414881711091097,15.535224378393705,2.7936594648399633,0.3492074331049954,0,0.8065768031152487,15.535224378393705,59.60973091169107,43.80842366311969,6.208479649985628,30.57930356274122,0.8203142497731916,1.0639398242295672,8.528357771247451,0.023638587051328652,,,,,,,,,,,,,,
17,A2,camera_only,,,,3.127893825666661,,6.0,4.583762158276003,,0,,17.084093111281913,,,,,,1.4574942058255984,2.1103320730019743,0.008104777577813351,1.0,1,1,0.0,0.0,0.0,0.0,27.818533947628868,7.516163655170557,0.7645804196389502,36.0,2.0,0.9794185570399738,8.046700685225517
17,A1,multimodal_permissive,1.5278886648981818,0,13.700000000000001,9.006693758201072,-1.7414881711091097,15.535224378393705,2.795270566565446,0.34940882082068075,0,0.5556755100360533,15.535224378393705,59.60973091169107,43.80842366311969,6.208479649985628,30.57930356274122,0.8203142497731916,1.0639398242295672,8.528357771247451,0.023638587051328652,,,,,,,,,,,,,,
17,A2,multimodal_permissive,,,,3.127893825666661,,6.0,4.583762158276003,,0,,17.084093111281913,,,,,,1.4574942058255984,2.1103320730019743,0.008104777577813351,0.9612027121959151,1,1,0.0,0.0,2.089557243566736e-37,0.0,27.818533947628868,7.516163655170557,0.7645804196389502,36.0,2.0,0.9794185570399738,8.046700685225517
17,A1,mitigation,0.9383939638238679,0,0.0,17.988599313688297,-1.7414881711091097,7.5,7.895079633314087,0.9868849541642609,1,0.06669998847185116,15.535224378393705,59.60973091169107,43.80842366311969,6.208479649985628,30.57930356274122,0.8203142497731916,1.0639398242295672,8.528357771247451,0.023638587051328652,,,,,,,,,,,,,,
17,A2,mitigation,,,,64.2049213196165,,16.900000000000002,1.5428402223087951,,0,,17.084093111281913,,,,,,1.4574942058255984,2.1103320730019743,0.008104777577813351,0.0923883868913787,0,0,0.5941176470588235,1.2014921228882152,0.849087200187543,1.0,26.273931544367027,7.516163655170557,0.7645804196389502,36.0,2.0,0.9794185570399738,8.046700685225517
18,A1,camera_only,1.605186782491843,0,14.0,8.730791748220335,-1.605186782491843,14.197917307652718,2.800168391837921,0.3500210489797401,0,0.2831231690153402,14.197917307652718,65.17414679288215,39.93152659250405,4.496349507988698,39.63725583151432,0.8666209537956675,1.2476728178285594,8.442178658756523,-0.002463903027006398,,,,,,,,,,,,,,
18,A2,camera_only,,,,3.0855664614742118,,7.300000000000001,4.527167048788658,,0,,17.673210944163213,,,,,,1.5560727495894506,2.076211764114931,0.02856463022389452,1.0,1,1,0.0,0.0,0.0,0.0,33.362132517882735,7.7543844848928725,0.7830692015758989,42.0,4.0,0.9510365057458608,8.36300038284244
18,A1,multimodal_permissive,1.5381785633672,0,13.9,26.0000008397438,-1.5381785633672,14.197917307652718,2.813375689770711,0.35167196122133887,0,0.006273586356400074,14.197917307652718,65.17414679288215,39.93152659250405,4.496349507988698,39.63725583151432,0.8666209537956675,1.2476728178285594,8.442178658756523,-0.002463903027006398,,,,,,,,,,,,,,
18,A2,multimodal_permissive,,,,3.0855664614742118,,7.300000000000001,4.527167048788658,,0,,17.673210944163213,,,,,,1.5560727495894506,2.076211764114931,0.02856463022389452,0.9393656291605681,1,1,0.0,0.0,3.4470176551235643e-41,0.0,33.362132517882735,7.7543844848928725,0.7830692015758989,42.0,4.0,0.9510365057458608,8.36300038284244
18,A1,mitigation,1.1541831262480502,0,0.0,17.58583666124545,-1.2391967077522767,8.200000000000001,7.971692792255702,0.9964615990319627,1,0.03956592438267086,14.197917307652718,65.17414679288215,39.93152659250405,4.496349507988698,39.63725583151432,0.8666209537956675,1.2476728178285594,8.442178658756523,-0.002463903027006398,,,,,,,,,,,,,,
18,A2,mitigation,,,,9.155416656356445,,17.5,1.7547170449057725,,0,,17.673210944163213,,,,,,1.5560727495894506,2.076211764114931,0.02856463022389452,0.05372254798381054,0,0,0.5397727272727273,1.9023500039784196,0.8802388823406685,1.0,30.865169108873353,7.7543844848928725,0.7830692015758989,42.0,4.0,0.9510365057458608,8.36300038284244
19,A1,camera_only,1.6115548465933358,0,12.0,26.016055640871247,-1.6115548465933358,14.261136387187783,3.69486289185198,0.4618578614814975,0,0.028030696828835744,14.261136387187783,67.25869344816704,39.83417983057595,4.36029162473516,31.726521499757343,0.90672816704674,1.3638207445029558,8.346749590198982,-0.01883345821761795,,,,,,,,,,,,,,
19,A2,camera_only,,,,3.6022437096821647,,6.5,4.962942431439506,,0,,22.039923511640325,,,,,,1.3565711055961676,3.8603535396991573,-0.008044551634063648,1.0,1,1,0.0,0.0,0.0,0.0,32.696385927508906,10.21230204607863,0.7411129365988626,44.0,3.0,0.8794437587152559,7.209490437226085
19,A1,multimodal_permissive,1.544313020079945,0,10.9,26.05386780444609,-1.544313020079945,14.261136387187783,4.258606970196331,0.5323258712745413,0,0.020481928281625983,14.261136387187783,67.25869344816704,39.83417983057595,4.36029162473516,31.726521499757343,0.90672816704674,1.3638207445029558,8.346749590198982,-0.01883345821761795,,,,,,,,,,,,,,
19,A2,multimodal_permissive,,,,3.6022437096821647,,6.5,4.962942431439506,,0,,22.039923511640325,,,,,,1.3565711055961676,3.8603535396991573,-0.008044551634063648,0.9189766936523894,1,1,0.0,0.0,3.6944773934337666e-35,0.0,32.696385927508906,10.21230204607863,0.7411129365988626,44.0,3.0,0.8794437587152559,7.209490437226085
19,A1,mitigation,0.5943684857726301,0,0.0,10.38183689229226,-0.8059568897394025,8.3,8.051500591423267,1.0064375739279083,1,0.05628688467457507,14.261136387187783,67.25869344816704,39.83417983057595,4.36029162473516,31.726521499757343,0.90672816704674,1.3638207445029558,8.346749590198982,-0.01883345821761795,,,,,,,,,,,,,,
